firstSim,secondSim,id1,id2
0.2897196,0.35452324,A10BB,A10BB
0.27040815,0.6277916,A10BB,A10BB
0.25373134,0.5885168,A10BB,A10BB
0.460177,0.48104957,A10BB,Multiple
0.460177,0.5387674,A10BB,A10BB
0.460177,0.4670913,A10BB,A10BB
0.35555556,0.5184136,D07AC,D07AC
0.8888889,0.51428574,D07AC,Multiple
0.8888889,0.88557214,D07AC,Multiple
0.8888889,0.85714287,D07AC,Multiple
0.30769232,0.5934718,D07AC,Multiple
0.8888889,0.67676765,D07AC,Multiple
0.8888889,0.675,D07AC,D07AC
0.8888889,0.79761904,D07AC,Multiple
0.35555556,0.51965064,D07AC,Multiple
0.8888889,0.6219512,D07AC,Multiple
0.8888889,0.4381271,D07AC,Multiple
0.8888889,0.7,D07AC,Multiple
0.8888889,0.74761903,D07AC,Multiple
0.8888889,0.6165644,D07AC,Multiple
0.8888889,0.4347826,D07AC,Multiple
0.1724138,0.48012233,D07AC,Multiple
0.8888889,0.5181518,D07AC,Multiple
0.8888889,0.71480143,D07AC,D07AC
0.92,0.30508474,C10AA,C10AA
0.92,0.9680851,C10AA,C10AA
0.3108108,0.26,C10AA,C10AA
0.92,0.28842106,C10AA,C10AA
0.92,0.2972477,C10AA,C10AA
0.8959538,0.7368421,N01AB,N01AB
0.3147208,0.29545453,N01AB,N01AB
0.8959538,0.62857145,N01AB,N01AB
0.8959538,0.55263156,N01AB,N01AB
0.3768116,0.09253731,N03AX,N03AX
0.6315789,0.057268724,N03AX,N03AX
0.35714287,0.05531915,N03AX,N03AX
0.3220339,0.14166667,N03AX,N03AX
0.7894737,0.6481481,N03AX,N03AX
0.6315789,0.12173913,N03AX,N03AX
0.85714287,0.1958042,N03AX,N03AX
0.94285715,0.2733813,N05CD,N05CD
0.94285715,0.6797153,N05CD,N05CD
0.94285715,0.32041344,N05CD,N05CD
0.9142857,0.3286908,N05CD,N05CD
0.33333334,0.5709091,N05CD,N05CD
0.9142857,0.5680272,N05CD,N05CD
0.9142857,0.73144877,N05CD,N05CD
0.94285715,0.5515873,N05CD,Multiple
0.45833334,0.561674,C03AA,C03AA
0.4032258,0.6438356,C03AA,Multiple
0.9444444,0.5736842,C03AA,C03AA
0.8918919,0.41293532,C03AA,Multiple
0.8918919,0.7757009,C03AA,C03AA
0.5762712,0.95950156,C03AA,C03AA
0.6216216,0.7916667,C03AA,C03AA
0.61702126,0.27123287,N06AX,Multiple
0.07446808,0.21588947,N06AX,N06AX
0.61702126,0.4059406,N06AX,N06AX
0.11764706,0.21763602,N06AX,N06AX
0.101960786,0.18478261,N06AX,N06AX
0.15508021,0.27422303,N06AX,N06AX
0.6304348,0.24806201,N06AX,N06AX
0.16477273,0.21513945,N06AX,N06AX
0.6304348,0.23480663,N06AX,N06AX
0.082840234,0.50955415,C01CE,C01CE
0.875,0.34562212,C01CE,C01CE
0.8888889,0.5020747,Multiple,S01BA
0.8888889,0.6260504,Multiple,Multiple
0.8888889,0.6754386,Multiple,Multiple
0.8888889,0.49107143,Multiple,Multiple
0.8888889,0.6768559,Multiple,Multiple
0.35555556,0.5462555,Multiple,Multiple
0.8888889,0.78838176,Multiple,D07AB
0.8888889,0.7647059,Multiple,Multiple
0.8888889,0.6864407,Multiple,S01BA
0.8888889,0.6764706,Multiple,Multiple
0.120300755,0.6754386,Multiple,Multiple
0.8888889,0.57482994,Multiple,Multiple
0.47887325,0.9235669,L01BB,L01BB
0.11111111,0.21632653,L01BB,L01BB
0.4814815,0.74545455,L01BB,L01BB
0.4225352,0.73848987,L01BB,L01BB
0.058252428,0.29656863,C01EB,Multiple
0.067567565,0.23443224,C01EB,C01EB
0.11578947,0.13732395,C01EB,Multiple
0.8428571,0.16923077,A07EC,A07EC
0.89944136,0.22988506,A07EC,A07EC
0.04347826,0.37254903,A07EC,A07EC
0.54545456,0.5647482,N04AC,Multiple
0.40079364,0.31878558,N05AE,N05AE
0.4389313,0.33003953,N05AE,N05AE
0.13414635,0.5006017,N02CA,N02CA
0.48181817,0.7089552,N02CA,Multiple
0.18283582,0.5775536,N02CA,Multiple
0.65273315,0.2674961,Multiple,N04BC
0.26132405,0.47126436,Multiple,Multiple
0.42071196,0.31601733,Multiple,N04BC
0.48307693,0.50877196,Multiple,Multiple
0.64649683,0.318038,Multiple,Multiple
0.628483,0.6518884,Multiple,N04BC
0.65088755,0.5787671,Multiple,Multiple
0.554717,0.29383886,Multiple,N04BC
0.95652175,0.70873785,Multiple,N03AB
0.95652175,0.74871796,Multiple,N03AB
0.95652175,0.5871212,Multiple,N03AB
0.8888889,0.55707765,S01BA,Multiple
0.8888889,0.53424656,S01BA,Multiple
0.8888889,0.39570552,S01BA,Multiple
0.8888889,0.53636366,S01BA,Multiple
0.35555556,0.89440995,S01BA,Multiple
0.8888889,0.6020408,S01BA,Multiple
0.8888889,0.52380955,S01BA,S01BA
0.8888889,0.56613755,S01BA,Multiple
0.120300755,0.53424656,S01BA,Multiple
0.8888889,0.4280822,S01BA,Multiple
0.7234042,0.22790697,Multiple,Multiple
0.9574468,0.23696682,Multiple,Multiple
0.7234042,0.63492066,Multiple,Multiple
0.9574468,0.23474178,Multiple,Multiple
0.09195402,0.17966102,Multiple,Multiple
0.075,0.18438539,Multiple,Multiple
0.32520324,0.3557047,Multiple,Multiple
0.09411765,0.2260128,L01XX,L01XX
0.0625,0.1375,L01XX,L01XX
0.06306306,0.196,L01XX,Multiple
0.037037037,0.13533835,L01XX,Multiple
0.22857143,0.2834395,L01XX,L01XX
0.1724138,0.15508021,L01XX,L01XX
0.064935066,0.13533835,L01XX,Multiple
0.26923078,0.3089655,L01XX,L01XX
0.3181818,0.032448377,L01XX,L01XX
0.26923078,0.3110119,L01XX,L01XX
0.029288704,0.014705882,L01XX,L01XX
0.071428575,0.24236642,L01XX,L01XX
0.051612902,0.16795866,L01XX,L01XX
0.16666667,0.19865319,L01AD,L01AD
0.5945946,0.7356322,Multiple,Multiple
0.972973,0.6230366,Multiple,C07AB
0.13178295,0.42145595,Multiple,C07AB
0.7826087,0.5882353,Multiple,C07AB
0.5945946,0.48292682,Multiple,C07AB
0.972973,0.43369177,Multiple,C07AB
0.2747253,0.26833072,N04BC,Multiple
0.6932271,0.25657895,N04BC,N04BC
0.98031497,0.31034482,N04BC,Multiple
0.94676805,0.25375938,N04BC,N04BC
0.83164984,0.25330132,N04BC,Multiple
0.58565736,0.31506848,N04BC,N04BC
0.9714286,0.12,G03CA,G03CA
0.9714286,0.12711865,G03CA,Multiple
0.73913044,0.11914894,G03CA,Multiple
0.8095238,0.11328125,G03CA,G03CA
0.73913044,0.11814346,G03CA,Multiple
0.7241379,0.5371179,C08CA,C08CA
0.5121951,0.71391755,C08CA,C08CA
0.8076923,0.71240103,C08CA,C08CA
0.53846157,0.65588915,C08CA,C08CA
0.39814815,0.66270787,C08CA,C08CA
0.74626863,0.6057441,C08CA,C08CA
0.96153843,0.75482094,C08CA,C08CA
0.5494506,0.6703297,C08CA,C08CA
0.8076923,0.7017544,C08CA,C08CA
0.5,0.24390244,V04CG,V04CG
0.44444445,0.1460177,N03AX,N03AX
0.3883495,0.15350877,N03AX,N03AX
0.46575344,0.11859838,N03AX,N03AX
0.4057971,0.076246336,N03AX,N03AX
0.44444445,0.0882353,N03AX,N03AX
0.38235295,0.13383839,N03AX,N03AX
0.9574468,0.4989858,C09CA,C09CA
0.9574468,0.418018,C09CA,C09CA
