firstSim,secondSim
0.09090909,0.048780486
0.13333334,0.21052632
0.14285715,0.14516129
0.14285715,0.11594203
0.071428575,0.05376344
0.08,0.18309858
0.14285715,0.13761468
0.14285715,0.21354167
0.14285715,0.08139535
0.14285715,0.10714286
0.14285715,0.04901961
0.14285715,0.05319149
0.14285715,0.045454547
0.13333334,0.18681319
0.35714287,0.05319149
0.14285715,0.19672132
0.14285715,0.26415095
0.10526316,0.05691057
0.14285715,0.13661203
0.14285715,0.15315315
0.14285715,0.056074765
0.13333334,0.097087376
0.14285715,0.20422535
0.14285715,0.07865169
0.09090909,0.21052632
0.13333334,0.21774194
0.14285715,0.08547009
